2018-08-01 09:33:59 | INFO | 3419 | 5b617d404b915 | 1533116039.177 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.017,0.04,"ASK"]
2018-08-01 09:33:59 | INFO | 3419 | 5b617d404b915 | 1533116039.178 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.01599999999996,0.04,"ASK"]
2018-08-01 09:34:10 | INFO | 3419 | 5b617d404b915 | 1533116050.191 | 开始根据真实数据进行模拟交易,假定挂单立即成交["425.0180000000000000",0.04,"ASK"]
2018-08-01 09:34:10 | INFO | 3419 | 5b617d404b915 | 1533116050.193 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.017,0.04,"ASK"]
2018-08-01 09:34:10 | INFO | 3419 | 5b617d404b915 | 1533116050.195 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.01599999999996,0.04,"ASK"]
2018-08-01 09:34:19 | INFO | 3419 | 5b617d404b915 | 1533116059.127 | 开始根据真实数据进行模拟交易,假定挂单立即成交["424.8590000000000000",0.04,"ASK"]
2018-08-01 09:34:19 | INFO | 3419 | 5b617d404b915 | 1533116059.129 | 开始根据真实数据进行模拟交易,假定挂单立即成交[424.858,0.04,"ASK"]
2018-08-01 09:34:19 | INFO | 3419 | 5b617d404b915 | 1533116059.131 | 开始根据真实数据进行模拟交易,假定挂单立即成交[424.85699999999997,0.04,"ASK"]
2018-08-01 09:34:27 | INFO | 3419 | 5b617d404b915 | 1533116067.435 | 开始根据真实数据进行模拟交易,假定挂单立即成交["424.8200000000000000",0.04,"ASK"]
2018-08-01 09:34:27 | INFO | 3419 | 5b617d404b915 | 1533116067.437 | 开始根据真实数据进行模拟交易,假定挂单立即成交[424.819,0.04,"ASK"]
2018-08-01 09:34:27 | INFO | 3419 | 5b617d404b915 | 1533116067.438 | 开始根据真实数据进行模拟交易,假定挂单立即成交[424.818,0.04,"ASK"]
2018-08-01 09:34:42 | INFO | 3419 | 5b617d404b915 | 1533116082.740 | 开始根据真实数据进行模拟交易,假定挂单立即成交["424.8120000000000000",0.04,"ASK"]
2018-08-01 09:34:42 | INFO | 3419 | 5b617d404b915 | 1533116082.742 | 开始根据真实数据进行模拟交易,假定挂单立即成交[424.81100000000004,0.04,"ASK"]
2018-08-01 09:34:42 | INFO | 3419 | 5b617d404b915 | 1533116082.744 | 开始根据真实数据进行模拟交易,假定挂单立即成交[424.81,0.04,"ASK"]
2018-08-01 09:34:50 | INFO | 3419 | 5b617d404b915 | 1533116090.715 | 开始根据真实数据进行模拟交易,假定挂单立即成交[424.791236,0.4167917622712672,"ASK"]
2018-08-01 09:34:56 | INFO | 3419 | 5b617d404b915 | 1533116096.878 | 开始根据真实数据进行模拟交易,假定挂单立即成交[424.607308,0.3946693677555834,"ASK"]
2018-08-01 09:35:00 | INFO | 3419 | 5b617d404b915 | 1533116100.684 | 开始根据真实数据进行模拟交易,假定挂单立即成交[424.48618,0.36947415839050235,"ASK"]
2018-08-01 09:35:06 | INFO | 3419 | 5b617d404b915 | 1533116106.410 | 开始根据真实数据进行模拟交易,假定挂单立即成交[424.75942399999997,0.3522846752226923,"ASK"]
2018-08-01 09:35:10 | INFO | 3419 | 5b617d404b915 | 1533116110.933 | 开始根据真实数据进行模拟交易,假定挂单立即成交[424.769356,0.33543898171823844,"ASK"]
2018-08-01 09:35:15 | INFO | 3419 | 5b617d404b915 | 1533116115.542 | 开始根据真实数据进行模拟交易,假定挂单立即成交[424.78253000000007,0.3189302020838737,"ASK"]
2018-08-01 09:35:19 | INFO | 3419 | 5b617d404b915 | 1533116119.687 | 开始根据真实数据进行模拟交易,假定挂单立即成交[424.727124,0.3027515980421962,"ASK"]
2018-08-01 09:35:23 | INFO | 3419 | 5b617d404b915 | 1533116123.924 | 开始根据真实数据进行模拟交易,假定挂单立即成交[424.702676,0.2868965660813523,"ASK"]
2018-08-01 09:35:27 | INFO | 3419 | 5b617d404b915 | 1533116127.735 | 开始根据真实数据进行模拟交易,假定挂单立即成交[424.650812,0.2713586347597252,"ASK"]
2018-08-01 09:35:32 | INFO | 3419 | 5b617d404b915 | 1533116132.794 | 开始根据真实数据进行模拟交易,假定挂单立即成交[424.673732,0.2561314620645307,"ASK"]
2018-08-01 09:35:37 | INFO | 3419 | 5b617d404b915 | 1533116137.124 | 开始根据真实数据进行模拟交易,假定挂单立即成交[424.6829,0.24120883282324007,"ASK"]
2018-08-01 09:35:40 | INFO | 3419 | 5b617d404b915 | 1533116140.856 | 开始根据真实数据进行模拟交易,假定挂单立即成交[424.66427000000004,0.22658465616677526,"ASK"]
2018-08-01 09:35:44 | INFO | 3419 | 5b617d404b915 | 1533116144.924 | 开始根据真实数据进行模拟交易,假定挂单立即成交[424.803736,0.21225296304343974,"ASK"]
2018-08-01 09:35:49 | INFO | 3419 | 5b617d404b915 | 1533116149.218 | 开始根据真实数据进行模拟交易,假定挂单立即成交[424.77761799999996,0.19820790378257094,"ASK"]
2018-08-01 09:35:53 | INFO | 3419 | 5b617d404b915 | 1533116153.345 | 开始根据真实数据进行模拟交易,假定挂单立即成交[424.753552,0.18444374570691952,"ASK"]
2018-08-01 09:35:59 | INFO | 3419 | 5b617d404b915 | 1533116159.279 | 开始根据真实数据进行模拟交易,假定挂单立即成交[424.84117200000003,0.1709548707927811,"ASK"]
2018-08-01 09:36:04 | INFO | 3419 | 5b617d404b915 | 1533116164.963 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.23942600000004,0.15773577337692546,"ASK"]
2018-08-01 09:36:09 | INFO | 3419 | 5b617d404b915 | 1533116169.772 | 开始根据真实数据进行模拟交易,假定挂单立即成交[424.919766,0.14478105790938695,"ASK"]
2018-08-01 09:36:14 | INFO | 3419 | 5b617d404b915 | 1533116174.651 | 开始根据真实数据进行模拟交易,假定挂单立即成交[424.87666,0.1320854367511992,"ASK"]
2018-08-01 09:36:18 | INFO | 3419 | 5b617d404b915 | 1533116178.555 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.037994,0.1196437280161752,"ASK"]
2018-08-01 09:36:22 | INFO | 3419 | 5b617d404b915 | 1533116182.954 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.082306,0.1074508534558517,"ASK"]
2018-08-01 09:36:26 | INFO | 3419 | 5b617d404b915 | 1533116186.917 | 开始根据真实数据进行模拟交易,假定挂单立即成交["424.8020000000000000",0.04,"ASK"]
2018-08-01 09:36:26 | INFO | 3419 | 5b617d404b915 | 1533116186.919 | 开始根据真实数据进行模拟交易,假定挂单立即成交[424.80100000000004,0.04,"ASK"]
2018-08-01 09:36:26 | INFO | 3419 | 5b617d404b915 | 1533116186.920 | 开始根据真实数据进行模拟交易,假定挂单立即成交[424.8,0.04,"ASK"]
2018-08-01 09:36:35 | INFO | 3419 | 5b617d404b915 | 1533116195.225 | 开始根据真实数据进行模拟交易,假定挂单立即成交["425.4380000000000000",0.04,"ASK"]
2018-08-01 09:36:35 | INFO | 3419 | 5b617d404b915 | 1533116195.227 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.437,0.04,"ASK"]
2018-08-01 09:36:35 | INFO | 3419 | 5b617d404b915 | 1533116195.229 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.436,0.04,"ASK"]
2018-08-01 09:36:44 | INFO | 3419 | 5b617d404b915 | 1533116204.166 | 开始根据真实数据进行模拟交易,假定挂单立即成交["425.5280000000000000",0.04,"ASK"]
2018-08-01 09:36:44 | INFO | 3419 | 5b617d404b915 | 1533116204.167 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.52700000000004,0.04,"ASK"]
2018-08-01 09:36:44 | INFO | 3419 | 5b617d404b915 | 1533116204.168 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.526,0.04,"ASK"]
2018-08-01 09:36:53 | INFO | 3419 | 5b617d404b915 | 1533116213.298 | 开始根据真实数据进行模拟交易,假定挂单立即成交["425.1360000000000000",0.04,"ASK"]
2018-08-01 09:36:53 | INFO | 3419 | 5b617d404b915 | 1533116213.300 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.13500000000005,0.04,"ASK"]
2018-08-01 09:36:53 | INFO | 3419 | 5b617d404b915 | 1533116213.302 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.134,0.04,"ASK"]
2018-08-01 09:37:03 | INFO | 3419 | 5b617d404b915 | 1533116223.298 | 开始根据真实数据进行模拟交易,假定挂单立即成交["425.1370000000000000",0.04,"ASK"]
2018-08-01 09:37:03 | INFO | 3419 | 5b617d404b915 | 1533116223.300 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.136,0.04,"ASK"]
2018-08-01 09:37:03 | INFO | 3419 | 5b617d404b915 | 1533116223.302 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.135,0.04,"ASK"]
2018-08-01 09:37:11 | INFO | 3419 | 5b617d404b915 | 1533116231.2 | 开始根据真实数据进行模拟交易,假定挂单立即成交["425.1370000000000000",0.04,"ASK"]
2018-08-01 09:37:12 | INFO | 3419 | 5b617d404b915 | 1533116232.4 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.136,0.04,"ASK"]
2018-08-01 09:37:12 | INFO | 3419 | 5b617d404b915 | 1533116232.6 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.135,0.04,"ASK"]
2018-08-01 09:37:25 | INFO | 3419 | 5b617d404b915 | 1533116245.62 | 开始根据真实数据进行模拟交易,假定挂单立即成交["424.8980000000000000",0.04,"ASK"]
2018-08-01 09:37:25 | INFO | 3419 | 5b617d404b915 | 1533116245.63 | 开始根据真实数据进行模拟交易,假定挂单立即成交[424.89700000000005,0.04,"ASK"]
2018-08-01 09:37:25 | INFO | 3419 | 5b617d404b915 | 1533116245.63 | 开始根据真实数据进行模拟交易,假定挂单立即成交[424.896,0.04,"ASK"]
2018-08-01 09:37:35 | INFO | 3419 | 5b617d404b915 | 1533116255.488 | 开始根据真实数据进行模拟交易,假定挂单立即成交["425.1670000000000000",0.04,"ASK"]
2018-08-01 09:37:35 | INFO | 3419 | 5b617d404b915 | 1533116255.489 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.166,0.04,"ASK"]
2018-08-01 09:37:35 | INFO | 3419 | 5b617d404b915 | 1533116255.491 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.16499999999996,0.04,"ASK"]
2018-08-01 09:37:44 | INFO | 3419 | 5b617d404b915 | 1533116264.652 | 开始根据真实数据进行模拟交易,假定挂单立即成交["425.2570000000000000",0.04,"ASK"]
2018-08-01 09:37:44 | INFO | 3419 | 5b617d404b915 | 1533116264.654 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.25600000000003,0.04,"ASK"]
2018-08-01 09:37:44 | INFO | 3419 | 5b617d404b915 | 1533116264.655 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.255,0.04,"ASK"]
2018-08-01 09:37:55 | INFO | 3419 | 5b617d404b915 | 1533116275.696 | 开始根据真实数据进行模拟交易,假定挂单立即成交["425.6200000000000000",0.04,"ASK"]
2018-08-01 09:37:55 | INFO | 3419 | 5b617d404b915 | 1533116275.698 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.619,0.04,"ASK"]
2018-08-01 09:37:55 | INFO | 3419 | 5b617d404b915 | 1533116275.702 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.618,0.04,"ASK"]
2018-08-01 09:38:14 | INFO | 3419 | 5b617d404b915 | 1533116294.611 | 开始根据真实数据进行模拟交易,假定挂单立即成交["425.3840000000000000",0.04,"ASK"]
2018-08-01 09:38:14 | INFO | 3419 | 5b617d404b915 | 1533116294.612 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.38300000000004,0.04,"ASK"]
2018-08-01 09:38:14 | INFO | 3419 | 5b617d404b915 | 1533116294.612 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.382,0.04,"ASK"]
2018-08-01 09:38:27 | INFO | 3419 | 5b617d404b915 | 1533116307.410 | 开始根据真实数据进行模拟交易,假定挂单立即成交["425.5640000000000000",0.04,"ASK"]
2018-08-01 09:38:27 | INFO | 3419 | 5b617d404b915 | 1533116307.410 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.56300000000005,0.04,"ASK"]
2018-08-01 09:38:27 | INFO | 3419 | 5b617d404b915 | 1533116307.411 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.562,0.04,"ASK"]
2018-08-01 09:38:37 | INFO | 3419 | 5b617d404b915 | 1533116317.955 | 开始根据真实数据进行模拟交易,假定挂单立即成交["425.5040000000000000",0.04,"ASK"]
2018-08-01 09:38:37 | INFO | 3419 | 5b617d404b915 | 1533116317.956 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.50300000000004,0.04,"ASK"]
2018-08-01 09:38:37 | INFO | 3419 | 5b617d404b915 | 1533116317.956 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.502,0.04,"ASK"]
2018-08-01 09:38:46 | INFO | 3419 | 5b617d404b915 | 1533116326.974 | 开始根据真实数据进行模拟交易,假定挂单立即成交["425.5030000000000000",0.04,"ASK"]
2018-08-01 09:38:46 | INFO | 3419 | 5b617d404b915 | 1533116326.975 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.502,0.04,"ASK"]
2018-08-01 09:38:46 | INFO | 3419 | 5b617d404b915 | 1533116326.977 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.501,0.04,"ASK"]
2018-08-01 09:39:01 | INFO | 3419 | 5b617d404b915 | 1533116341.219 | 开始根据真实数据进行模拟交易,假定挂单立即成交["425.4670000000000000",0.04,"ASK"]
2018-08-01 09:39:01 | INFO | 3419 | 5b617d404b915 | 1533116341.221 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.466,0.04,"ASK"]
2018-08-01 09:39:01 | INFO | 3419 | 5b617d404b915 | 1533116341.222 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.465,0.04,"ASK"]
