2018-08-01 06:58:00 | NOTICE | 1974 | 5b6159b5b2c82 | 1533106680.718 | main loop{"price":421.30379999999997,"p":0.8930853145890091,"btc":"4.7898377974281000","usdt":"241.5760330280000000","vol":0.30011999999999994}
2018-08-01 06:58:00 | INFO | 1974 | 5b6159b5b2c82 | 1533106680.719 | 开始根据真实数据进行模拟交易,假定挂单立即成交["421.9000000000000000",0.04,"ASK"]
2018-08-01 06:58:00 | INFO | 1974 | 5b6159b5b2c82 | 1533106680.719 | 开始根据真实数据进行模拟交易,假定挂单立即成交[421.899,0.04,"ASK"]
2018-08-01 06:58:00 | INFO | 1974 | 5b6159b5b2c82 | 1533106680.720 | 开始根据真实数据进行模拟交易,假定挂单立即成交[421.89799999999997,0.04,"ASK"]
2018-08-01 06:58:04 | INFO | 1974 | 5b6159b5b2c82 | 1533106684.667 | accounts 调用成功 null
2018-08-01 06:58:06 | INFO | 1974 | 5b6159b5b2c82 | 1533106686.366 | ordersCancel 调用成功 109006100
2018-08-01 06:58:06 | INFO | 1974 | 5b6159b5b2c82 | 1533106686.367 | 取消订单完成{"data":{"updated_at":"2018-07-30T12:35:18Z","state":"CANCELED","side":"BID","price":"10.0000000000000000","market_uuid":"2dab8bcf-cfdd-496b-8181-d670568d1daa","market_id":"ETH-USDT","inserted_at":"2018-07-30T12:28:05Z","id":"109006100","filled_amount":"0E-16","avg_deal_price":"0E-16","amount":"1.0000000000000000"}}
2018-08-01 06:58:09 | INFO | 1974 | 5b6159b5b2c82 | 1533106689.667 | ordersCancel 调用成功 109006100
2018-08-01 06:58:09 | INFO | 1974 | 5b6159b5b2c82 | 1533106689.668 | 取消订单完成{"data":{"updated_at":"2018-07-30T12:35:18Z","state":"CANCELED","side":"BID","price":"10.0000000000000000","market_uuid":"2dab8bcf-cfdd-496b-8181-d670568d1daa","market_id":"ETH-USDT","inserted_at":"2018-07-30T12:28:05Z","id":"109006100","filled_amount":"0E-16","avg_deal_price":"0E-16","amount":"1.0000000000000000"}}
2018-08-01 06:58:11 | INFO | 1974 | 5b6159b5b2c82 | 1533106691.184 | ordersCancel 调用成功 109006100
2018-08-01 06:58:11 | INFO | 1974 | 5b6159b5b2c82 | 1533106691.185 | 取消订单完成{"data":{"updated_at":"2018-07-30T12:35:18Z","state":"CANCELED","side":"BID","price":"10.0000000000000000","market_uuid":"2dab8bcf-cfdd-496b-8181-d670568d1daa","market_id":"ETH-USDT","inserted_at":"2018-07-30T12:28:05Z","id":"109006100","filled_amount":"0E-16","avg_deal_price":"0E-16","amount":"1.0000000000000000"}}
2018-08-01 06:58:12 | INFO | 1974 | 5b6159b5b2c82 | 1533106692.425 | tradesMarket 调用成功 ["ETH-USDT",2]
2018-08-01 06:58:14 | INFO | 1974 | 5b6159b5b2c82 | 1533106694.273 | depth 调用成功 "ETH-USDT"
2018-08-01 06:58:14 | NOTICE | 1974 | 5b6159b5b2c82 | 1533106694.280 | main loop{"price":421.25939999999997,"p":0.8930867990779142,"btc":"4.7898377974281000","usdt":"241.5760330280000000","vol":0.30011999999999994}
2018-08-01 06:58:14 | INFO | 1974 | 5b6159b5b2c82 | 1533106694.284 | 开始根据真实数据进行模拟交易,假定挂单立即成交["421.9000000000000000",0.04,"ASK"]
2018-08-01 06:58:14 | INFO | 1974 | 5b6159b5b2c82 | 1533106694.286 | 开始根据真实数据进行模拟交易,假定挂单立即成交[421.899,0.04,"ASK"]
2018-08-01 06:58:14 | INFO | 1974 | 5b6159b5b2c82 | 1533106694.287 | 开始根据真实数据进行模拟交易,假定挂单立即成交[421.89799999999997,0.04,"ASK"]
2018-08-01 06:58:15 | INFO | 1974 | 5b6159b5b2c82 | 1533106695.796 | accounts 调用成功 null
2018-08-01 06:58:19 | INFO | 1974 | 5b6159b5b2c82 | 1533106699.139 | ordersCancel 调用成功 109006100
2018-08-01 06:58:19 | INFO | 1974 | 5b6159b5b2c82 | 1533106699.140 | 取消订单完成{"data":{"updated_at":"2018-07-30T12:35:18Z","state":"CANCELED","side":"BID","price":"10.0000000000000000","market_uuid":"2dab8bcf-cfdd-496b-8181-d670568d1daa","market_id":"ETH-USDT","inserted_at":"2018-07-30T12:28:05Z","id":"109006100","filled_amount":"0E-16","avg_deal_price":"0E-16","amount":"1.0000000000000000"}}
